,weekly_r_gross,weekly_r_net,costs
2022-08-05,-0.00514422,-0.00514422,0.00000000
2022-08-12,0.01914885,0.01914885,0.00000000
2022-08-19,-0.02029504,-0.02029504,0.00000000
2022-08-26,-0.01610694,-0.01610694,0.00000000
2022-09-02,-0.03055045,-0.03055045,0.00000000
2022-09-09,0.02254492,0.02254492,0.00000000
2022-09-16,-0.02829825,-0.02829825,0.00000000
2022-09-23,-0.03920205,-0.03920205,0.00000000
2022-09-30,-0.01687465,-0.01687465,0.00000000
2022-10-07,0.01423929,0.01423929,0.00000000
2022-10-14,-0.02001289,-0.02001289,0.00000000
2022-10-21,0.01408309,0.01408309,0.00000000
2022-10-28,0.02741424,0.02741424,0.00000000
2022-11-04,0.00343634,0.00343634,0.00000000
2022-11-11,0.04262425,0.04262425,0.00000000
2022-11-18,-0.00361578,-0.00361578,0.00000000
2022-11-25,0.01021163,0.01021163,0.00000000
2022-12-02,0.02092138,0.02092138,0.00000000
2022-12-09,-0.02248644,-0.02248644,0.00000000
2022-12-16,-0.00582439,-0.00582439,0.00000000
2022-12-23,-0.00845853,-0.00845853,0.00000000
2022-12-30,-0.00744223,-0.00744223,0.00000000
2023-01-06,0.02833500,0.02833500,0.00000000
2023-01-13,0.03226590,0.03226590,0.00000000
2023-01-20,-0.00017496,-0.00017496,0.00000000
2023-01-27,0.00701891,0.00701891,0.00000000
2023-02-03,-0.00355625,-0.00355625,0.00000000
2023-02-10,-0.01409230,-0.01409230,0.00000000
2023-02-17,-0.00455087,-0.00455087,0.00000000
2023-02-24,-0.02236466,-0.02236466,0.00000000
2023-03-03,0.01823114,0.01823114,0.00000000
2023-03-10,-0.02727491,-0.02727491,0.00000000
2023-03-17,0.00453242,0.00453242,0.00000000
2023-03-24,0.01028357,0.01028357,0.00000000
2023-03-31,0.01989335,0.01989335,0.00000000
2023-04-14,0.00534315,0.00534315,0.00000000
2023-04-21,-0.00410660,-0.00410660,0.00000000
2023-04-28,0.00621619,0.00621619,0.00000000
2023-05-05,-0.00146136,-0.00146136,0.00000000
2023-05-12,-0.00588914,-0.00588914,0.00000000
2023-05-19,-0.00358704,-0.00358704,0.00000000
2023-05-26,-0.00069109,-0.00069109,0.00000000
2023-06-02,0.01335637,0.01335637,0.00000000
2023-06-09,0.00193727,0.00193727,0.00000000
2023-06-16,0.01410979,0.01410979,0.00000000
2023-06-23,-0.01586958,-0.01586958,0.00000000
2023-06-30,0.01628319,0.01628319,0.00000000
2023-07-07,-0.01004871,-0.01004871,0.00000000
2023-07-14,0.02663323,0.02663323,0.00000000
2023-07-21,0.00322855,0.00322855,0.00000000
2023-07-28,0.00506662,0.00506662,0.00000000
2023-08-04,-0.01753880,-0.01753880,0.00000000
2023-08-11,-0.00824212,-0.00824212,0.00000000
2023-08-18,-0.01873726,-0.01873726,0.00000000
2023-08-25,0.00881492,0.00881492,0.00000000
2023-09-01,0.01675799,0.01675799,0.00000000
2023-09-08,-0.00962273,-0.00962273,0.00000000
2023-09-15,0.00150876,0.00150876,0.00000000
2023-09-22,-0.02055359,-0.02055359,0.00000000
2023-09-29,-0.01193344,-0.01193344,0.00000000
2023-10-06,-0.01413681,-0.01413681,0.00000000
2023-10-13,0.01558391,0.01558391,0.00000000
2023-10-20,-0.02303096,-0.02303096,0.00000000
2023-10-27,-0.00964005,-0.00964005,0.00000000
2023-11-03,0.04673665,0.04673665,0.00000000
2023-11-10,-0.00814832,-0.00814832,0.00000000
2023-11-17,0.02473605,0.02473605,0.00000000
2023-11-24,0.00519516,0.00519516,0.00000000
2023-12-01,0.02050484,0.02050484,0.00000000
2023-12-08,-0.00694425,-0.00694425,0.00000000
2023-12-15,0.02945472,0.02945472,0.00000000
2023-12-22,0.00841673,0.00841673,0.00000000
2023-12-29,0.00394928,0.00394928,0.00000000
2024-01-05,-0.01817849,-0.01817849,0.00000000
