,weekly_r_gross,weekly_r_net,costs
2022-05-13,0.00271799,0.00271799,0.00000000
2022-05-20,-0.00324035,-0.00324035,0.00000000
2022-05-27,0.03909669,0.03909669,0.00000000
2022-06-03,-0.00866560,-0.00866560,0.00000000
2022-06-10,-0.02853801,-0.02853801,0.00000000
2022-06-17,-0.04474023,-0.04474023,0.00000000
2022-06-24,0.00664022,0.00664022,0.00000000
2022-07-01,-0.01299957,-0.01299957,0.00000000
2022-07-08,0.00313227,0.00313227,0.00000000
2022-07-15,0.00940268,0.00940268,0.00000000
2022-07-22,0.02277061,0.02277061,0.00000000
2022-07-29,0.03164211,0.03164211,0.00000000
2022-08-05,-0.00272014,-0.00272014,0.00000000
2022-08-12,0.01595480,0.01595480,0.00000000
2022-08-19,-0.02200924,-0.02200924,0.00000000
2022-08-26,-0.01875837,-0.01875837,0.00000000
2022-09-02,-0.03405435,-0.03405435,0.00000000
2022-09-09,0.00797744,0.00797744,0.00000000
2022-09-16,-0.02491549,-0.02491549,0.00000000
2022-09-23,-0.04297901,-0.04297901,0.00000000
2022-09-30,-0.01793268,-0.01793268,0.00000000
2022-10-07,0.01222158,0.01222158,0.00000000
2022-10-14,-0.02009439,-0.02009439,0.00000000
2022-10-21,0.00366281,0.00366281,0.00000000
2022-10-28,0.02818558,0.02818558,0.00000000
2022-11-04,-0.01421261,-0.01421261,0.00000000
2022-11-11,0.05313461,0.05313461,0.00000000
2022-11-18,-0.02060504,-0.02060504,0.00000000
2022-11-25,0.00643267,0.00643267,0.00000000
2022-12-02,0.02148910,0.02148910,0.00000000
2022-12-09,-0.01976431,-0.01976431,0.00000000
2022-12-16,-0.00602885,-0.00602885,0.00000000
2022-12-23,-0.01116691,-0.01116691,0.00000000
2022-12-30,-0.00666923,-0.00666923,0.00000000
2023-01-06,0.01913838,0.01913838,0.00000000
2023-01-13,0.03982412,0.03982412,0.00000000
2023-01-20,-0.00001094,-0.00001094,0.00000000
2023-01-27,0.00554449,0.00554449,0.00000000
2023-02-03,-0.01184817,-0.01184817,0.00000000
2023-02-10,-0.00333065,-0.00333065,0.00000000
2023-02-17,0.00003114,0.00003114,0.00000000
2023-02-24,-0.02151107,-0.02151107,0.00000000
2023-03-03,0.02256629,0.02256629,0.00000000
2023-03-10,-0.01874507,-0.01874507,0.00000000
2023-03-17,-0.00102604,-0.00102604,0.00000000
2023-03-24,0.00903098,0.00903098,0.00000000
2023-03-31,-0.00085729,-0.00085729,0.00000000
2023-04-14,0.00558392,0.00558392,0.00000000
2023-04-21,-0.00444846,-0.00444846,0.00000000
2023-04-28,0.00440474,0.00440474,0.00000000
2023-05-05,-0.00171186,-0.00171186,0.00000000
2023-05-12,-0.00572258,-0.00572258,0.00000000
2023-05-19,-0.00330523,-0.00330523,0.00000000
2023-05-26,-0.00279522,-0.00279522,0.00000000
2023-06-02,0.01559358,0.01559358,0.00000000
2023-06-09,0.00417035,0.00417035,0.00000000
2023-06-16,0.01460131,0.01460131,0.00000000
2023-06-23,-0.02275980,-0.02275980,0.00000000
2023-06-30,0.01762971,0.01762971,0.00000000
2023-07-07,-0.01134935,-0.01134935,0.00000000
2023-07-14,0.02421992,0.02421992,0.00000000
2023-07-21,0.00308255,0.00308255,0.00000000
2023-07-28,0.00764305,0.00764305,0.00000000
2023-08-04,-0.01567148,-0.01567148,0.00000000
2023-08-11,-0.00811834,-0.00811834,0.00000000
2023-08-18,-0.02084022,-0.02084022,0.00000000
2023-08-25,0.00806594,0.00806594,0.00000000
2023-09-01,0.01904175,0.01904175,0.00000000
2023-09-08,-0.00996462,-0.00996462,0.00000000
2023-09-15,-0.00085773,-0.00085773,0.00000000
2023-09-22,-0.02056068,-0.02056068,0.00000000
2023-09-29,-0.01194992,-0.01194992,0.00000000
2023-10-06,-0.01362832,-0.01362832,0.00000000
2023-10-13,0.01436348,0.01436348,0.00000000
2023-10-20,-0.02429694,-0.02429694,0.00000000
2023-10-27,-0.00274832,-0.00274832,0.00000000
2023-11-03,0.01755129,0.01755129,0.00000000
2023-11-10,-0.01223803,-0.01223803,0.00000000
2023-11-17,0.02509501,0.02509501,0.00000000
2023-11-24,0.00500730,0.00500730,0.00000000
2023-12-01,0.01902488,0.01902488,0.00000000
2023-12-08,-0.00981731,-0.00981731,0.00000000
2023-12-15,0.02671203,0.02671203,0.00000000
2023-12-22,0.00776149,0.00776149,0.00000000
2023-12-29,0.00364657,0.00364657,0.00000000
2024-01-05,-0.01612217,-0.01612217,0.00000000
2024-01-12,0.00818974,0.00818974,0.00000000
2024-01-19,-0.00938482,-0.00938482,0.00000000
2024-01-26,0.00646173,0.00646173,0.00000000
2024-02-02,0.00414031,0.00414031,0.00000000
2024-02-09,0.01201869,0.01201869,0.00000000
2024-02-16,-0.00643527,-0.00643527,0.00000000
2024-02-23,0.00808785,0.00808785,0.00000000
2024-03-01,0.01544185,0.01544185,0.00000000
2024-03-08,0.00955993,0.00955993,0.00000000
2024-03-15,-0.01064978,-0.01064978,0.00000000
2024-03-22,0.00895261,0.00895261,0.00000000
2024-04-05,0.01370423,0.01370423,0.00000000
2024-04-12,-0.01361214,-0.01361214,0.00000000
2024-04-19,-0.00724918,-0.00724918,0.00000000
2024-04-26,0.01403365,0.01403365,0.00000000
2024-05-03,0.01026140,0.01026140,0.00000000
2024-05-10,0.01025459,0.01025459,0.00000000
2024-05-17,0.01567175,0.01567175,0.00000000
2024-05-24,-0.00742875,-0.00742875,0.00000000
2024-05-31,-0.00345320,-0.00345320,0.00000000
2024-06-07,0.00058572,0.00058572,0.00000000
2024-06-14,0.00999398,0.00999398,0.00000000
2024-06-21,0.00150276,0.00150276,0.00000000
2024-06-28,-0.00310419,-0.00310419,0.00000000
2024-07-05,0.01621398,0.01621398,0.00000000
2024-07-12,0.02064773,0.02064773,0.00000000
2024-07-19,-0.01812781,-0.01812781,0.00000000
2024-07-26,-0.00151079,-0.00151079,0.00000000
2024-08-02,-0.00884051,-0.00884051,0.00000000
2024-08-09,-0.00037419,-0.00037419,0.00000000
2024-08-16,0.01153389,0.01153389,0.00000000
2024-08-23,0.01133912,0.01133912,0.00000000
2024-08-30,-0.00448390,-0.00448390,0.00000000
2024-09-06,-0.02475607,-0.02475607,0.00000000
2024-09-13,0.02880713,0.02880713,0.00000000
2024-09-20,0.00005500,0.00005500,0.00000000
2024-09-27,0.00366723,0.00366723,0.00000000
2024-10-04,0.00431433,0.00431433,0.00000000
2024-10-11,-0.00197837,-0.00197837,0.00000000
2024-10-18,-0.00087406,-0.00087406,0.00000000
2024-10-25,-0.00572175,-0.00572175,0.00000000
2024-11-01,-0.00925102,-0.00925102,0.00000000
2024-11-08,0.01746749,0.01746749,0.00000000
2024-11-15,-0.02795844,-0.02795844,0.00000000
2024-11-22,0.02724967,0.02724967,0.00000000
2024-11-29,0.01270950,0.01270950,0.00000000
2024-12-06,-0.00193395,-0.00193395,0.00000000
2024-12-13,-0.01442162,-0.01442162,0.00000000
2024-12-20,-0.01768064,-0.01768064,0.00000000
2024-12-27,0.00368432,0.00368432,0.00000000
2025-01-03,0.00336705,0.00336705,0.00000000
2025-01-10,-0.01369924,-0.01369924,0.00000000
2025-01-17,0.02276417,0.02276417,0.00000000
2025-01-24,0.01040360,0.01040360,0.00000000
2025-01-31,-0.00432455,-0.00432455,0.00000000
2025-02-07,0.00588142,0.00588142,0.00000000
2025-02-14,0.01080745,0.01080745,0.00000000
2025-02-21,0.00073347,0.00073347,0.00000000
2025-02-28,-0.01228169,-0.01228169,0.00000000
2025-03-07,-0.00330722,-0.00330722,0.00000000
2025-03-14,-0.00152537,-0.00152537,0.00000000
2025-03-21,0.00425727,0.00425727,0.00000000
2025-03-28,-0.00347313,-0.00347313,0.00000000
2025-04-04,-0.06331261,-0.06331261,0.00000000
2025-04-11,0.03927817,0.03927817,0.00000000
2025-04-25,0.02125984,0.02125984,0.00000000
2025-05-02,-0.01148548,-0.01148548,0.00000000
2025-05-09,0.00601443,0.00601443,0.00000000
2025-05-16,0.02259710,0.02259710,0.00000000
2025-05-23,-0.00363084,-0.00363084,0.00000000
2025-05-30,0.00994204,0.00994204,0.00000000
2025-06-06,0.01474076,0.01474076,0.00000000
2025-06-13,0.01078916,0.01078916,0.00000000
2025-06-20,0.00019472,0.00019472,0.00000000
2025-06-27,0.01457508,0.01457508,0.00000000
2025-07-11,0.02328289,0.02328289,0.00000000
2025-07-18,0.00334542,0.00334542,0.00000000
2025-07-25,0.00727746,0.00727746,0.00000000
2025-08-01,-0.00922245,-0.00922245,0.00000000
2025-08-08,0.01657472,0.01657472,0.00000000
