,,Last Px,SMAVG (50),SMAVG (100),SMAVG (200)
We,2/5/2020,44.855,47.008,,
Tu,2/4/2020,47.061,47.168,,
Mo,2/3/2020,50.075,47.282,,
,,,,,
Fr,1/31/2020,50.155,47.324,,
Th,1/30/2020,47.535,47.346,,
We,1/29/2020,48.016,47.42,,
Tu,1/28/2020,46.646,47.508,,
Mo,1/27/2020,49.308,47.62,,
,,,,,
Fr,1/24/2020,47.025,47.668,,
Th,1/23/2020,46.02,47.754,,
We,1/22/2020,45.071,,,
Tu,1/21/2020,45.763,,,
,,,,,
Fr,1/17/2020,44.053,,,
Th,1/16/2020,44.054,,,
We,1/15/2020,44.715,,,
Tu,1/14/2020,44.716,,,
Mo,1/13/2020,44.133,,,
,,,,,
Fr,1/10/2020,44.195,,,
Th,1/9/2020,43.844,,,
We,1/8/2020,45.113,,,
Tu,1/7/2020,46.665,,,
Mo,1/6/2020,46.049,,,
,,,,,
Fr,1/3/2020,45.835,,,
Th,1/2/2020,44.155,,,
Tu,12/31/2019,45.266,,,
Mo,12/30/2019,44.975,,,
,,,,,
Fr,12/27/2019,43.948,,,
Th,12/26/2019,43.978,,,
Tu,12/24/2019,44.599,,,
Mo,12/23/2019,45.041,,,
,,,,,
Fr,12/20/2019,45.116,,,
Th,12/19/2019,45.708,,,
We,12/18/2019,45.773,,,
Tu,12/17/2019,45.814,,,
Mo,12/16/2019,46.135,,,
,,,,,
Fr,12/13/2019,47.86,,,
Th,12/12/2019,47.802,,,
We,12/11/2019,49.175,,,
Tu,12/10/2019,49.875,,,
Mo,12/9/2019,50.183,,,
,,,,,
Fr,12/6/2019,49.205,,,
Th,12/5/2019,50.463,,,
We,12/4/2019,50.395,,,
Tu,12/3/2019,52.192,,,
Mo,12/2/2019,51.546,,,
,,,,,
Fr,11/29/2019,50.03,,,
We,11/27/2019,49.565,,,
Tu,11/26/2019,49.19,,,
Mo,11/25/2019,50.028,,,
,,,,,
Fr,11/22/2019,51.461,,,
Th,11/21/2019,52.891,,,
We,11/20/2019,52.77,,,
Tu,11/19/2019,52.143,,,
Mo,11/18/2019,51.252,,,
,,,,,
Fr,11/15/2019,51.26,,,
Th,11/14/2019,52.421,,,
We,11/13/2019,52.221,,,
Tu,11/12/2019,51.724,,,
,,,,,
Fr,11/8/2019,51.299,,,
